,Neighborhood,Exter Qual,Kitchen Qual,Garage Qual,Fireplace Qu,Bsmt Qual,Heating QC,Garage Finish,Overall Qual,House Style
0,NAmes,TA,TA,TA,Gd,TA,Fa,Fin,6,1Story
3,NAmes,Gd,Ex,TA,TA,TA,Ex,Fin,7,1Story
4,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,5,2Story
5,Gilbert,TA,Gd,TA,Gd,TA,Ex,Fin,6,2Story
8,StoneBr,Gd,Gd,TA,TA,Gd,Ex,RFn,8,1Story
9,Gilbert,TA,Gd,TA,TA,TA,Gd,Fin,7,2Story
10,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,6,2Story
12,Gilbert,TA,TA,TA,Gd,Gd,Gd,Fin,6,2Story
13,Gilbert,TA,Gd,TA,Po,Gd,Gd,Unf,7,1Story
15,StoneBr,Ex,Ex,TA,Gd,Gd,Ex,Fin,8,2Story
17,StoneBr,Gd,Ex,TA,Ex,Ex,Ex,Fin,9,1Story
19,NWAmes,TA,TA,TA,TA,Gd,TA,Unf,6,1Story
20,NWAmes,TA,TA,TA,TA,Gd,Ex,RFn,6,1Story
21,NWAmes,TA,Gd,TA,TA,Gd,TA,RFn,7,SFoyer
23,NAmes,TA,TA,TA,TA,TA,Ex,Fin,6,1Story
24,NAmes,TA,TA,TA,Fa,TA,Ex,Fin,5,1Story
25,NAmes,TA,TA,TA,Fa,TA,Ex,Unf,5,1Story
28,NAmes,Gd,Gd,TA,Fa,Gd,Ex,Fin,7,1Story
32,NPkVill,TA,TA,TA,Fa,Gd,TA,RFn,6,1Story
33,NPkVill,TA,Gd,TA,TA,TA,TA,Unf,6,2Story
35,NPkVill,TA,TA,TA,TA,Gd,Fa,Unf,6,2Story
36,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,2Story
37,NridgHt,Gd,Gd,TA,Gd,Ex,Ex,RFn,8,1Story
38,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
40,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,1Story
41,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
42,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,RFn,8,1Story
44,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
45,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,1Story
46,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
47,NridgHt,Gd,Gd,TA,Ex,Gd,Ex,Fin,8,2Story
48,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,RFn,9,1Story
49,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
53,Blmngtn,Gd,Gd,TA,TA,Gd,Ex,Fin,8,1Story
54,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,SLvl
55,Gilbert,Gd,Gd,TA,TA,Gd,Ex,Fin,6,2Story
56,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
57,Gilbert,TA,TA,TA,TA,Gd,Ex,Fin,7,SLvl
58,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
